latitude, longitude, name, metro_line
55.6531886,12.5154747,M4,"Nordhavnsmetro"
55.6532651,12.5156078,M4,"Nordhavnsmetro"
55.6193604,12.5756773,M1,"Metro M1: Vestamager => Vanløse"
55.6193815,12.575491,M1,"Metro M1: Vanløse => Vestamager"
55.6290017,12.5794514,M1,"Metro M1: Vestamager => Vanløse"
55.6290111,12.5792412,M1,"Metro M1: Vanløse => Vestamager"
55.638066,12.5828389,M1,"Metro M1: Vanløse => Vestamager"
55.6531886,12.5154747,M4,"Nordhavnsmetro"
55.6532651,12.5156078,M4,"Nordhavnsmetro"
55.6870978,12.4924739,M2,"Metro M2: Vanløse => Lufthavnen"
55.6871927,12.4925279,M2,"Metro M2: Lufthavnen => Vanløse"
55.6858288,12.4994038,M2,"Metro M2: Vanløse => Lufthavnen"
55.68592,12.4995755,M2,"Metro M2: Lufthavnen => Vanløse"
55.6815576,12.5235467,M2,"Metro M2: Vanløse => Lufthavnen"
55.6816313,12.5235906,M2,"Metro M2: Lufthavnen => Vanløse"
55.6834124,12.5131634,M2,"Metro M2: Vanløse => Lufthavnen"
55.6834849,12.5132083,M2,"Metro M2: Lufthavnen => Vanløse"
55.6489278,12.5343119,M4,"Nordhavnsmetro"
55.6489932,12.5343846,M4,"Nordhavnsmetro"
55.6458143,12.5444317,M4,"Nordhavnsmetro"
55.6458913,12.5444129,M4,"Nordhavnsmetro"
55.6541011,12.5564232,M4,"Nordhavnsmetro"
55.6540455,12.5566056,M4,"Nordhavnsmetro"
55.6671785,12.5468059,M3,"Cityringen (counterclockwise)"
55.6672727,12.546784,M3,"Cityringen (clockwise)"
55.6610092,12.5594061,M4,"Nordhavnsmetro"
55.6609593,12.5592515,M4,"Nordhavnsmetro"
55.6734871,12.5405342,M3,"Cityringen (counterclockwise)"
55.6735288,12.540686,M3,"Cityringen (clockwise)"
55.6811562,12.5317534,M2,"Metro M2: Vanløse => Lufthavnen"
55.680741,12.5323488,M3,"Cityringen (counterclockwise)"
55.6807422,12.532518,M3,"Cityringen (clockwise)"
55.6812348,12.5317524,M2,"Metro M2: Lufthavnen => Vanløse"
55.6817729,12.5525121,M2,"Metro M2: Vanløse => Lufthavnen"
55.6818416,12.5525695,M2,"Metro M2: Lufthavnen => Vanløse"
55.6860698,12.5328685,M3,"Cityringen (counterclockwise)"
55.6860312,12.5330231,M3,"Cityringen (clockwise)"
55.688504,12.5424574,M3,"Cityringen (counterclockwise)"
55.6884527,12.542599,M3,"Cityringen (clockwise)"
55.6935248,12.54885,M3,"Cityringen (counterclockwise)"
55.6935309,12.5490189,M3,"Cityringen (clockwise)"
55.6713493,12.5639281,M4,"Nordhavnsmetro"
55.6714463,12.5638242,M4,"Nordhavnsmetro"
55.676472,12.5681381,M4,"Nordhavnsmetro"
55.6764091,12.5682655,M4,"Nordhavnsmetro"
55.6776376,12.5789039,M4,"Nordhavnsmetro"
55.6775465,12.5789528,M4,"Nordhavnsmetro"
55.6838629,12.5709642,M2,"Metro M2: Vanløse => Lufthavnen"
55.683922,12.5710354,M2,"Metro M2: Lufthavnen => Vanløse"
55.7000546,12.5378865,M3,"Cityringen (counterclockwise)"
55.7000427,12.5380542,M3,"Cityringen (clockwise)"
55.7035331,12.5487094,M3,"Cityringen (counterclockwise)"
55.7034653,12.5488284,M3,"Cityringen (clockwise)"
55.7063512,12.5648062,M3,"Cityringen (clockwise)"
55.70644,12.5647465,M3,"Cityringen (counterclockwise)"
55.6992508,12.5754696,M3,"Cityringen (clockwise)"
55.699252,12.5756404,M3,"Cityringen (counterclockwise)"
55.7095176,12.5761722,M3,"Cityringen (counterclockwise)"
55.7094334,12.5760927,M3,"Cityringen (clockwise)"
55.6380662,12.5830023,M1,"Metro M1: Vestamager => Vanløse"
55.6357106,12.6468748,M2,"Metro M2: Vanløse => Lufthavnen"
55.6357335,12.6470216,M2,"Metro M2: Lufthavnen => Vanløse"
55.6309064,12.6491179,M2,"Metro M2: Vanløse => Lufthavnen"
55.6309164,12.6493125,M2,"Metro M2: Lufthavnen => Vanløse"
55.64524,12.5858215,M1,"Metro M1: Vestamager => Vanløse"
55.6452602,12.585629,M1,"Metro M1: Vanløse => Vestamager"
55.6557731,12.5891081,M1,"Metro M1: Vestamager => Vanløse"
55.6557634,12.588927,M1,"Metro M1: Vanløse => Vestamager"
55.6634044,12.5852827,M1,"Metro M1: Vestamager => Vanløse"
55.663418,12.5851399,M1,"Metro M1: Vanløse => Vestamager"
55.6633427,12.6028748,M2,"Metro M2: Vanløse => Lufthavnen"
55.6633824,12.6029887,M2,"Metro M2: Lufthavnen => Vanløse"
55.6561241,12.6317921,M2,"Metro M2: Vanløse => Lufthavnen"
55.6561542,12.6319355,M2,"Metro M2: Lufthavnen => Vanløse"
55.6622768,12.6170424,M2,"Metro M2: Lufthavnen => Vanløse"
55.6622019,12.6170786,M2,"Metro M2: Vanløse => Lufthavnen"
55.6614567,12.6287751,M2,"Metro M2: Lufthavnen => Vanløse"
55.6614216,12.6286533,M2,"Metro M2: Vanløse => Lufthavnen"
55.6720724,12.5913169,M2,"Metro M2: Vanløse => Lufthavnen"
55.6721192,12.5914373,M2,"Metro M2: Lufthavnen => Vanløse"
55.6792212,12.5851403,M2,"Metro M2: Vanløse => Lufthavnen"
55.6799636,12.5857681,M4,"Nordhavnsmetro"
55.6800651,12.5856435,M4,"Nordhavnsmetro"
55.6792445,12.5853269,M2,"Metro M2: Lufthavnen => Vanløse"
55.6851171,12.5890621,M4,"Nordhavnsmetro"
55.6851175,12.5890607,M4,"Nordhavnsmetro"
55.6928374,12.5858543,M4,"Nordhavnsmetro"
55.6929185,12.5859929,M4,"Nordhavnsmetro"
55.6451749,12.6382463,M2,"Metro M2: Vanløse => Lufthavnen"
55.6451983,12.6384144,M2,"Metro M2: Lufthavnen => Vanløse"
55.7074548,12.591489,M4,"Nordhavnsmetro"
55.7073994,12.5916422,M4,"Nordhavnsmetro"
55.7118194,12.5952724,M4,"Nordhavnsmetro"
55.711861,12.5950828,M4,"Nordhavnsmetro"
